2020-09-24 10:48:35 - INFO - 22740 - [modbus_connector.py] - modbus_connector - 67 - Starting Modbus connector name:AlarmLed
2020-09-24 10:48:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:48:45 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:48:50 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:48:55 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:00 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:30 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:35 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:45 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:50 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:49:55 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:00 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:30 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:35 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:45 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:50 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:50:55 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:00 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:30 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:35 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:51:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
